Data_Series,Asia,Brunei_Darussalam,Cambodia,Hong_Kong,India,Indonesia,Japan,Mainland_China,Malaysia,Myanmar,Philippines,Republic_Of_Korea,Saudi_Arabia,Taiwan,Thailand,United_Arab_Emirates,Vietnam,ASEAN,Europe,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Switzerland,United_Kingdom,European_Union_EU_27,North_America,United_States_Of_America,Canada,Oceania,Australia,New_Zealand,South_And_Central_America_And_The_Caribbean,Panama,Africa,South_Africa
2000,8639.8,32.6,9,1240.1,395.9,831,2083.1,649,859.5,30,269.5,391.9,17.2,465.8,436.2,151.9,94.3,2599.7,5290.7,18.5,138,203.5,503.2,28.2,504.9,52.5,218.9,2115.5,2100.4,12852.7,12729.7,122.7,754.3,669,57.2,368.7,19.6,108.2,23.3
2001,9702.7,29.4,20.9,1447.9,586.1,1044.6,1780.3,730.7,898.8,33.5,299.4,579.6,19.6,507.8,562.6,205.1,103,3028.3,6303.7,35.8,143.9,231.8,483.1,22.8,423.5,104.4,228.2,3068.2,2624.5,12607.7,12480,127.6,993.7,864.7,92.1,1106.1,18.3,118.1,21.8
2002,10987.5,37.8,30,1585.9,644.5,1162.3,2172.1,859.4,884.3,33.4,305.8,669.5,31.3,599.3,670.1,234.7,132.4,3330.7,7311.9,36.4,176.7,340.5,379.3,50.6,516.5,161.1,258.4,3577.3,2857.8,13262.1,13120.8,139.5,1210.4,1006.9,119.1,1407.7,24.8,153.1,28.9
2003,12607.1,49.3,34.5,1685.2,791.9,1126.8,2810.7,1381.2,973.7,29.6,297.8,761.1,60.2,732,649.3,306.4,221.8,3425.4,11217.7,97.1,307.1,696.5,619.8,120.5,1792.2,215.2,687.6,5066.7,4808.2,14723.6,14599.5,124.1,1543.9,1379.6,142.3,1782,54.7,222.6,71.8
2004,18110.8,60.6,58,2222.7,1042.1,1498.9,4998,2198.1,1182.5,45.4,391.5,1066.5,87.4,904.3,915.3,368.1,336.2,4533.7,13060.2,112.2,336.4,934.2,820.2,155.1,1830.6,470.7,1247.9,5332.2,5534.4,16344,16222.9,121.2,1890.5,1676.8,183.4,2468.1,141.7,351.7,65.3
2005,19161.4,36.3,69.9,2417.2,1252.3,1508.9,4715.1,2337.2,1244.8,60.1,371.2,1219.1,112.1,1080.4,1068.3,379,403.9,4817.9,15759.9,176.4,407.2,1424,985,169.7,1993.3,654.4,1378.1,7255.4,6002.2,17082.9,16911.8,171.1,1924.5,1652.7,205.5,2838.8,171.9,517.4,73.7
2006,22188.6,49.6,205.6,2938.8,1512.1,1490.6,6393.3,2500.6,1315.9,71.9,439.9,1279.9,197.5,1199,1021.6,410.7,328.3,4938.9,19490.8,234.8,759.9,1645.5,1067,117.8,4535.5,463.2,1407.4,7450.7,9603.6,17932.5,17728.6,203.7,2230.3,1883.7,197.9,3330.3,192.6,824,116.7
2007,24679,101.2,100.2,3520,1869.5,1587.4,5689.4,3362.4,1650.8,69.1,515.2,1592,116.1,1515.2,1126.7,527.6,459.3,5623.8,20310,295.8,1135.5,1599.1,1683.7,209.5,2811.1,643.1,1844.2,7874.3,8926.4,20809,20490.3,318.7,2792.5,2337.5,241,4150.1,206.4,765.9,216.6
2008,28848.5,109.6,112.4,3623.9,2345.5,1673.7,5857.7,4143.2,2152.4,63.4,708.7,1977.9,142.5,1917.6,1452.6,636.8,561,6858.2,25778,307.3,922.6,2394.1,2245.8,291.4,4223.6,922.8,2274.7,9528.9,11941.6,21878.4,21494.9,383.5,3035.5,2342.1,330.6,5584.7,349.4,945.9,89.2
2009,27360.1,40.2,102.9,3503.1,2352.3,1566.5,5024.8,4429,1985.5,76.6,694.6,1591.4,114,1829.9,1192,1052.7,574.8,6254.5,23000.7,224.7,731.7,2247.9,2302,276.3,4049.1,947.4,2271.8,7274.5,11477.7,23868.5,23301.9,388.5,3287.6,2639.8,338.1,6471.9,340.5,1062.1,97.4
2010,31712.3,36.6,110.7,4279.6,2700.1,1780.2,5403.3,5331.6,2177.8,74.9,832.9,1985.7,143.6,2322,1337.1,1105.7,662.6,7024.9,27320.7,238.2,715.1,2368.7,2600.3,373.3,6676.5,986.9,2552.6,7580.5,15179.4,25665.4,24934.3,557.2,3796.6,3070.9,331.5,8169.2,476.7,1126.3,147.8
2011,34902.8,41.3,133.2,3944.7,2979.5,1733.9,6783.8,6432.7,2342.2,76.6,890.5,2197.6,209.8,2306.9,1401.6,1285.5,729.8,7371.1,31957,380.2,938.8,2851.6,3065.6,520.4,6370.6,1020.8,3517.2,8165.4,17970.8,21297.3,20617.1,680.2,5312.4,4197.7,508.7,11691.9,457,1496.2,162.6
2012,36390.3,58.3,127.8,4233.6,3039.8,1816.8,6482.1,6996.2,2568.6,81.4,874.5,2459.6,165.3,2095.3,1439.6,1445,918.2,7923.9,35344.7,359.7,1101.7,3460.2,2806.9,469.2,7893.8,963.4,4281.5,7247.3,21341.9,30497.7,29605.1,697.3,6069.5,4676.2,553.4,13349.8,510.6,1764.9,236.3
2013,40683.5,48.9,63.5,5096.7,3555.7,1920,6420.7,7983,2743.8,152.3,1202.2,2608.7,187.7,2544.5,1460.4,1918.3,884.7,8667.8,44479.7,573.6,1338,3589.8,3075.7,471,9497,1200.4,5942.8,8330.6,26904.3,30780.3,29705.6,1074.5,6886.7,5313.8,487.8,16499.7,950.4,2648.4,323.2
2014,48565.4,53.1,65.8,7674.3,3839.5,1990.2,6792.9,10355.7,2793.6,159.5,996.8,3292.3,254.5,3441.5,1972.3,1850.2,926.3,8965.7,50558.2,721.5,1454,4181.3,3522.9,969.6,9542.9,1323.5,5912.6,6632.1,34172.2,37267.2,35904.1,1176.9,7620.1,5567.1,517.5,15597.8,1233.6,3310.7,329.5
2015,52852.1,67.1,82.1,8664.1,4035.6,2170.2,7015,10883.3,3173.6,217.7,1198.8,3312,615.2,3827.5,2221.6,1972.3,916.9,10056.5,52409.6,715.2,1666.7,3781.9,3125.6,533.6,12144.7,1320.3,6250.5,7163.4,34774.9,41606.3,40598.8,1004.8,8064.5,5191,655.8,11851.1,1202.9,3108.4,307.2
2016,55147,96.6,92.6,8852.5,4559.9,2106.7,7961,9640.3,3504.6,279.1,1421.5,3814.9,362.2,4593.7,2337.6,2106.5,1012.7,10866.6,46021.3,618.3,1393.4,3830.6,3480.2,575.6,10987.3,1134.5,5553.3,6314,30455.4,42591.1,41526.5,1040.2,8730.2,5555.6,678.5,13180.6,1440.9,3058.7,265.7
2017,65135.6,73,111.1,10816.2,5433.3,2225.5,9129,12303,3952.6,267,1520.3,4448.6,411,5145.8,2791.5,2211.5,1398.4,12346.4,53270.9,864.6,1745.5,3110.5,4024.9,663.8,14234.2,1316.6,6812,7269.6,34711.7,44121.2,43038,1079.8,10322.4,6587.3,676.2,20081.3,1705.9,3568.3,311.3
2018,76514.9,81.2,114.2,12138.3,6563.5,2452.3,13679,14288.4,3988.5,271.3,1701.8,5114.8,400.6,5277.2,3185.6,2363.6,1598.3,13540.8,60408.6,954.8,2117.7,3865.8,4627.5,742.2,15616.4,1446.5,7466.1,7674.4,40537,48543,47097.1,1442.7,11315.5,6694.4,656.7,11420.5,1514,4023.8,326.9
2019,82979.5,48.1,212.5,13121.6,7758.3,2703.6,14850.8,15735.8,3794.1,281.3,1810.7,5419.5,438.6,6195.2,3340.1,2316,1862.1,14228.7,59991,881,2155,4210.8,4929.1,766.5,16816.5,1497.5,7697.8,8191.7,39356.2,49769.1,48197.2,1565.8,11720.9,6189.5,663.7,12520.1,1694.3,4126.7,285.7
2020,94143.7,235.7,154,14778.4,8753.6,2841.4,15375.5,19953,4189.1,236.8,1863,6040.9,480.8,7345.2,4004.1,2807.8,2063.3,15925.3,54636.1,1266.2,2490.7,4229.1,4299.9,873.7,5079.2,1661.6,8313.4,11716.1,29497.8,74802.7,73160.5,1642.1,12889.4,5980.9,643.4,11949,1678.7,5787.5,300.2
2021,112797.2,52.6,145.3,20876.3,9891.2,3269.4,16573.8,23805.5,4895.9,193.1,1988,7125.1,445.1,9718.7,4469.6,3720.9,1926.8,17280.2,60713.9,1084.4,2758.9,4315,4834.8,733.1,5437,1739.9,9295.4,13366.9,31895.2,81960.9,80366.1,1594.7,14702.3,6738.8,625.5,11812.1,2203.5,6486.6,452.8
