Data_Series,Asia,Hong_Kong,India,Japan,Mainland_China,Republic_Of_Korea,Saudi_Arabia,Taiwan,United_Arab_Emirates,ASEAN,European_Union_EU_27,United_Kingdom,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Switzerland,United_States_Of_America,Canada,Australia,New_Zealand,South_And_Central_America_And_The_Caribbean,Africa
2000,8639.8,1240.1,395.9,2083.1,649,391.9,17.2,465.8,151.9,2599.7,2100.4,2115.5,18.5,138,203.5,503.2,28.2,504.9,52.5,218.9,12729.7,122.7,669,57.2,368.7,108.2
2001,9702.7,1447.9,586.1,1780.3,730.7,579.6,19.6,507.8,205.1,3028.3,2624.5,3068.2,35.8,143.9,231.8,483.1,22.8,423.5,104.4,228.2,12480,127.6,864.7,92.1,1106.1,118.1
2002,10987.5,1585.9,644.5,2172.1,859.4,669.5,31.3,599.3,234.7,3330.7,2857.8,3577.3,36.4,176.7,340.5,379.3,50.6,516.5,161.1,258.4,13120.8,139.5,1006.9,119.1,1407.7,153.1
2003,12607.1,1685.2,791.9,2810.7,1381.2,761.1,60.2,732,306.4,3425.4,4808.2,5066.7,97.1,307.1,696.5,619.8,120.5,1792.2,215.2,687.6,14599.5,124.1,1379.6,142.3,1782,222.6
2004,18110.8,2222.7,1042.1,4998,2198.1,1066.5,87.4,904.3,368.1,4533.7,5534.4,5332.2,112.2,336.4,934.2,820.2,155.1,1830.6,470.7,1247.9,16222.9,121.2,1676.8,183.4,2468.1,351.7
2005,19161.4,2417.2,1252.3,4715.1,2337.2,1219.1,112.1,1080.4,379,4817.9,6002.2,7255.4,176.4,407.2,1424,985,169.7,1993.3,654.4,1378.1,16911.8,171.1,1652.7,205.5,2838.8,517.4
2006,22188.6,2938.8,1512.1,6393.3,2500.6,1279.9,197.5,1199,410.7,4938.9,9603.6,7450.7,234.8,759.9,1645.5,1067,117.8,4535.5,463.2,1407.4,17728.6,203.7,1883.7,197.9,3330.3,824
2007,24679,3520,1869.5,5689.4,3362.4,1592,116.1,1515.2,527.6,5623.8,8926.4,7874.3,295.8,1135.5,1599.1,1683.7,209.5,2811.1,643.1,1844.2,20490.3,318.7,2337.5,241,4150.1,765.9
2008,28848.5,3623.9,2345.5,5857.7,4143.2,1977.9,142.5,1917.6,636.8,6858.2,11941.6,9528.9,307.3,922.6,2394.1,2245.8,291.4,4223.6,922.8,2274.7,21494.9,383.5,2342.1,330.6,5584.7,945.9
2009,27360.1,3503.1,2352.3,5024.8,4429,1591.4,114,1829.9,1052.7,6254.5,11477.7,7274.5,224.7,731.7,2247.9,2302,276.3,4049.1,947.4,2271.8,23301.9,388.5,2639.8,338.1,6471.9,1062.1
2010,31712.3,4279.6,2700.1,5403.3,5331.6,1985.7,143.6,2322,1105.7,7024.9,15179.4,7580.5,238.2,715.1,2368.7,2600.3,373.3,6676.5,986.9,2552.6,24934.3,557.2,3070.9,331.5,8169.2,1126.3
2011,34902.8,3944.7,2979.5,6783.8,6432.7,2197.6,209.8,2306.9,1285.5,7371.1,17970.8,8165.4,380.2,938.8,2851.6,3065.6,520.4,6370.6,1020.8,3517.2,20617.1,680.2,4197.7,508.7,11691.9,1496.2
2012,36390.3,4233.6,3039.8,6482.1,6996.2,2459.6,165.3,2095.3,1445,7923.9,21341.9,7247.3,359.7,1101.7,3460.2,2806.9,469.2,7893.8,963.4,4281.5,29605.1,697.3,4676.2,553.4,13349.8,1764.9
2013,40683.5,5096.7,3555.7,6420.7,7983,2608.7,187.7,2544.5,1918.3,8667.8,26904.3,8330.6,573.6,1338,3589.8,3075.7,471,9497,1200.4,5942.8,29705.6,1074.5,5313.8,487.8,16499.7,2648.4
2014,48565.4,7674.3,3839.5,6792.9,10355.7,3292.3,254.5,3441.5,1850.2,8965.7,34172.2,6632.1,721.5,1454,4181.3,3522.9,969.6,9542.9,1323.5,5912.6,35904.1,1176.9,5567.1,517.5,15597.8,3310.7
2015,52852.1,8664.1,4035.6,7015,10883.3,3312,615.2,3827.5,1972.3,10056.5,34774.9,7163.4,715.2,1666.7,3781.9,3125.6,533.6,12144.7,1320.3,6250.5,40598.8,1004.8,5191,655.8,11851.1,3108.4
2016,55147,8852.5,4559.9,7961,9640.3,3814.9,362.2,4593.7,2106.5,10866.6,30455.4,6314,618.3,1393.4,3830.6,3480.2,575.6,10987.3,1134.5,5553.3,41526.5,1040.2,5555.6,678.5,13180.6,3058.7
2017,65135.6,10816.2,5433.3,9129,12303,4448.6,411,5145.8,2211.5,12346.4,34711.7,7269.6,864.6,1745.5,3110.5,4024.9,663.8,14234.2,1316.6,6812,43038,1079.8,6587.3,676.2,20081.3,3568.3
2018,76514.9,12138.3,6563.5,13679,14288.4,5114.8,400.6,5277.2,2363.6,13540.8,40537,7674.4,954.8,2117.7,3865.8,4627.5,742.2,15616.4,1446.5,7466.1,47097.1,1442.7,6694.4,656.7,11420.5,4023.8
2019,82979.5,13121.6,7758.3,14850.8,15735.8,5419.5,438.6,6195.2,2316,14228.7,39356.2,8191.7,881,2155,4210.8,4929.1,766.5,16816.5,1497.5,7697.8,48197.2,1565.8,6189.5,663.7,12520.1,4126.7
2020,94143.7,14778.4,8753.6,15375.5,19953,6040.9,480.8,7345.2,2807.8,15925.3,29497.8,11716.1,1266.2,2490.7,4229.1,4299.9,873.7,5079.2,1661.6,8313.4,73160.5,1642.1,5980.9,643.4,11949,5787.5
2021,112797.2,20876.3,9891.2,16573.8,23805.5,7125.1,445.1,9718.7,3720.9,17280.2,31895.2,13366.9,1084.4,2758.9,4315,4834.8,733.1,5437,1739.9,9295.4,80366.1,1594.7,6738.8,625.5,11812.1,6486.6
