Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Total,125.126,121.837,107.531,100,101.477,94.813,85.876,82.812,87.288,85.007,83.609,83.343,77.307,59.614,62.199,64.915
"  Food, Beverage & Tobacco",100.018,87.295,91.643,100.002,97.729,94.815,89.066,85.914,85.406,84.087,84.124,81.334,78.41,73.524,77.127,71.603
  Textiles,16.902,30.328,52.223,100,114.458,124.337,135.347,146.423,150.363,174.91,205.114,200.817,245.161,292.923,361.718,390.662
  Wearing Apparel,231.491,164.799,118.936,100,40.023,42.696,40.362,48.396,102.894,161.694,191.365,207.768,256.118,438.298,695.143,968.615
  Leather Products,98.757,92.76,58.813,100,112.254,120.43,135.376,152.368,162.299,185.89,166.799,169.261,138.533,134.564,216.954,256.047
  Wood And Of Products Of Wood And Cork,153.776,127.794,85.479,100,112.518,121.471,124.223,130.82,140.233,134.775,122.104,125.452,130.454,127.223,165.545,186.422
  Paper & Paper Products,101.67,100.308,96.279,100,100.102,93.489,94.579,97.161,101.557,101.435,95.748,98.251,104.221,93.747,99.222,100.445
  Printing And Reproduction Of Recorded Media,80.6,76.528,84.482,100,110.64,121.383,141.163,165.972,175.877,188.797,203.873,219.175,226.855,221.05,258.987,267.895
  Refined Petroleum Products,92.514,86.039,83.527,100,105.41,105.888,97.247,93.308,86.016,93.984,99.927,100.522,96.122,96.863,113.664,112.584
  Chemicals & Chemical Products,101.579,110.171,100.551,100,101.769,96.874,90.94,91.992,88.946,81.282,78.487,78.069,76.169,62.683,65.942,69.311
  Pharmaceuticals And Biological Products,130.301,145.311,130.684,100,89.665,83.22,97.068,85.334,93.387,86.546,88.553,80.718,60.748,39.644,35.25,37.982
  Rubber & Plastic Products,122.488,116.907,98.799,100,100.097,101.684,99.249,108.572,118.56,118.882,123.247,127.744,143.413,129.298,153.476,166.619
  Non-Metallic Mineral Products,96.463,95.852,64.019,100,104.811,119.049,146.901,163.602,148.483,175.775,178.039,180.574,167.099,165.876,174.247,209.796
  Basic Metals,108.901,111.221,97.569,100,110.925,126.654,124.24,116.958,116.123,90.307,107.039,118.135,120.701,109.363,129.749,107.333
  Fabricated Metal Products,117.574,110.296,91.364,100,100.785,100.601,103.341,110.193,118.744,118.428,118.257,112.548,116.587,102.219,114.038,119.917
"  Computer, Electronic & Optical Products",129.185,126.717,111.131,100,106.041,98.036,73.738,64.623,68.236,67.826,65.079,71.862,81.612,61.211,66.883,71.641
  Electrical Equipment,116.053,106.859,90.385,100,95.087,84.779,77.026,75.898,74.283,66.371,60.796,61.198,75.967,53.092,49.996,50.943
  Machinery & Equipment,152.909,136.465,109.581,100,111.927,97.986,91.931,113.825,134.536,124.236,122.077,108.455,85.14,62.102,70.459,72.322
"  Motor Vehicles, Trailers And Semi-Trailers",103.815,97.715,87.316,100,109.725,113.584,95.475,90.66,82.585,77.023,62.755,63.944,54.917,39.733,44.892,59.817
  Other Transport Equipment,108.155,88.96,75.676,100,96.958,94.063,95.666,94.737,101.064,105.283,104.097,97.946,92.033,93.981,99.948,92.402
  Furniture,113.536,93.595,65.015,100,108.69,115.75,161.567,170.19,193.128,217.627,222.958,210.173,238.83,216.783,200.87,179.497
  Other Manufacturing Industries,122.693,117.956,109.561,100,92.856,84.241,76.676,69.448,58.911,55.209,50.666,47.344,43.575,39.39,38.817,39.983
