Data_Series,Asia,Europe,North_America,Oceania,Latin_America,Africa
2000,8639.8,5290.7,12852.7,754.3,368.7,108.2
2001,9702.7,6303.7,12607.7,993.7,1106.1,118.1
2002,10987.5,7311.9,13262.1,1210.4,1407.7,153.1
2003,12607.1,11217.7,14723.6,1543.9,1782,222.6
2004,18110.8,13060.2,16344,1890.5,2468.1,351.7
2005,19161.4,15759.9,17082.9,1924.5,2838.8,517.4
2006,22188.6,19490.8,17932.5,2230.3,3330.3,824
2007,24679,20310,20809,2792.5,4150.1,765.9
2008,28848.5,25778,21878.4,3035.5,5584.7,945.9
2009,27360.1,23000.7,23868.5,3287.6,6471.9,1062.1
2010,31712.3,27320.7,25665.4,3796.6,8169.2,1126.3
2011,34902.8,31957,21297.3,5312.4,11691.9,1496.2
2012,36390.3,35344.7,30497.7,6069.5,13349.8,1764.9
2013,40683.5,44479.7,30780.3,6886.7,16499.7,2648.4
2014,48565.4,50558.2,37267.2,7620.1,15597.8,3310.7
2015,52852.1,52409.6,41606.3,8064.5,11851.1,3108.4
2016,55147,46021.3,42591.1,8730.2,13180.6,3058.7
2017,65135.6,53270.9,44121.2,10322.4,20081.3,3568.3
2018,76514.9,60408.6,48543,11315.5,11420.5,4023.8
2019,82979.5,59991,49769.1,11720.9,12520.1,4126.7
2020,94143.7,54636.1,74802.7,12889.4,11949,5787.5
2021,112797.2,60713.9,81960.9,14702.3,11812.1,6486.6
